"Brand","Category","Category slug","Product ID","Product name","SKU"
"Amplex","Health & Beauty","health-beauty","1677","Amplex Roll On Deodorant Active 50ml","73041T"
"Amplex","Health & Beauty","health-beauty","1670","Amplex Roll On Deodorant Ocean 50ml","72743V"
"Aquafresh","Health & Beauty","health-beauty","1750","Aquafresh Active White Toothpaste 100ml","HBT-69460S"
"Aussie","Health & Beauty","health-beauty","1265","Aussie Conditioner Mega Travel 100ml","72982U"
"Aussie","Health & Beauty","health-beauty","1264","Aussie Shampoo Mega Travel 100ml","72983X"
"Baylis & Harding","Clearance","clearance","1012","Baylis & Harding Beauticology Cosmic Body Pamper Gift Set","69999C"
"Baylis & Harding","Clearance","clearance","1007","Baylis & Harding Beauticology Cosmic Fun Pop Beauty Bag Gift Set","70001H"
"Baylis & Harding","Health & Beauty","health-beauty","1669","Baylis & Harding Elements Pink Blossom & Lotus Flower Hand Wash 500ml","72564A"
"Baylis & Harding","Health & Beauty","health-beauty","1615","Baylis & Harding Goodness Oud Cedar & Amber Body Wash 100ml","72566G"
"Baylis & Harding","Health & Beauty","health-beauty","1520","Baylis & Harding Goodness Sleep Bath Soak 500ml","HBT-60914X"
"Baylis & Harding","Clearance","clearance","1011","Baylis & Harding Limited Edition Body Pamper Gift Set","69954T"
"Baylis & Harding","Clearance","clearance","1010","Baylis & Harding The Fuzzy Duck Cocktails Indulgent Body Care Gift Set","69983F"
"Baylis & Harding","Clearance","clearance","1009","Baylis & Harding The Fuzzy Duck Winter Wonderland Decorative Crackers Gift Set","69990B"
"Baylis & Harding","Clearance","clearance","1008","Baylis & Harding The Fuzzy Duck Winter Wonderland Luxury Bath Bombs Gift Set","69987R"
"Bubble T","Clearance","clearance","1657","Bubble T Boba Body Wash 4 Piece Gift Set","69830T"
"Bubble T","Clearance","clearance","1656","Bubble T Boba Face Mask 3 Piece Gift Set","69828M"
"Bubble T","Clearance","clearance","1658","Bubble T Boba Wash & Body 3 Piece Gift Set","69832Z"
"Bubble T","Clearance","clearance","1662","Bubble T Rainbow Crackers 3 Piece Gift Set","69838R"
"Bubble T","Clearance","clearance","1661","Bubble T Sweetea Bubble Bath Collection 5 Piece Gift Set","69836L"
"Bubble T","Clearance","clearance","1659","Bubble T Sweetea Donut Bath Fizzer 4 Piece Gift Set","69834F"
"Bubble T","Clearance","clearance","1660","Bubble T Sweetea Hand Collection 3 Piece Gift Set","69835I"
"Candy Kittens","Sweets & Snacks","sweets-snacks","1573","Candy Kittens Eton Mess 140g","SWE-72273Q"
"Candy Kittens","Sweets & Snacks","sweets-snacks","1721","Candy Kittens Soul Pop 140g Clipstrip","SWE-72371O"
"Capri Sun","Sweets & Snacks","sweets-snacks","1707","Capri Sun Fruit Mix Soft Chews 147g","73033U"
"Capri Sun","Sweets & Snacks","sweets-snacks","1708","Capri Sun Monster Alarm Sour Chews 147g","73034X"
"Chupa Chups","Health & Beauty","health-beauty","1472","Chupa Chups Strawberry Lip Balm","73087F"
"Chupa Chups","Health & Beauty","health-beauty","1262","Chupa Chups Watermelon, Peach & Lemon Lip Balms","73086C"
"Cuticura","Health & Beauty","health-beauty","1681","Cuticura Repair Hand Cream 75ml","HBT-66347H"
"Denman","Health & Beauty","health-beauty","1268","Denman D81S Small Style and Shine Brush Original","72782M"
"Dove","Health & Beauty","health-beauty","1524","Dove Women Anti-Perspirant Deodorant Powder 150ml","HBT-63603V"
"Enliven","Health & Beauty","health-beauty","1680","Enliven Nail Polish Remover Acetone Free 250ml","HBT-63817U"
"Face Facts","Health & Beauty","health-beauty","1518","Face Facts Ceramide Moisturising Body Lotion 400ml","HBT-72104G"
"Face Facts","Health & Beauty","health-beauty","1528","Face Facts Ceramide Repairing Lip Balm 10ml","HBT-72107P"
"Face Facts","Health & Beauty","health-beauty","1527","Face Facts Friday Social Turbo Plump Biocellulose Masque Face Mask","HBT-72130J"
"Femfresh","Health & Beauty","health-beauty","1621","Femfresh Wipes 10’s","72306U"
"FLO","Health & Beauty","health-beauty","1534","FLO Bamboo Extra Long Pads 10's","HBT-67830H"
"Fresh Start","Health & Beauty","health-beauty","1678","Fresh Start Shower Gel Coconut & Lime 400ml","HBT-1789X"
"Golden Rounds","Sweets & Snacks","sweets-snacks","1725","Golden Rounds Potato Crisp Biscuit BBQ 80g","SWE-72551M"
"Golden Rounds","Sweets & Snacks","sweets-snacks","1722","Golden Rounds Potato Crisp Biscuit Cheese 80g","SWE-72548C"
"Golden Rounds","Sweets & Snacks","sweets-snacks","1724","Golden Rounds Potato Crisp Biscuit Pizza 80g","SWE-72550J"
"Golden Rounds","Sweets & Snacks","sweets-snacks","1723","Golden Rounds Potato Crisp Biscuit Tangy Tomato 80g","SWE-72549F"
"Good Boy","Pets","pets","2234","Good Boy Cheese Please – Long Lasting Tasty Chew 60g","72619U"
"Good Boy","Pets","pets","2235","Good Boy Soft Meerkat Dog Toy","72567J"
"Got2b","Health & Beauty","health-beauty","1623","Got2b Glued 4 Brows & Edges 16ml 2in1 Gel","72327H"
"Grow with Peppa","Health & Beauty","health-beauty","1282","Grow with Peppa Baby Bath Foam 350ml","72711A"
"Grow with Peppa","Health & Beauty","health-beauty","1284","Grow with Peppa Baby Conditioning Shampoo 350ml","72709T"
"Grow with Peppa","Health & Beauty","health-beauty","1285","Grow with Peppa Baby Head to Toe Wash 350ml","72708Q"
"Grow with Peppa","Health & Beauty","health-beauty","1283","Grow with Peppa Baby Lotion 350ml","72710X"
"Gummi King","Sweets & Snacks","sweets-snacks","1106","Gummi King Fries 80g","73029H"
"Gummi King","Sweets & Snacks","sweets-snacks","1775","Gummi King Jumbo Burger 88g","73028E"
"Gummi King","Sweets & Snacks","sweets-snacks","1092","Gummi King Noodles 100g","73030L"
"Gummi King","Sweets & Snacks","sweets-snacks","1105","Gummi King of the Taco 100g","73031O"
"Haribo","Sweets & Snacks","sweets-snacks","1720","Haribo Bubblegum Bottles Z!ng 140g £1.25 PMP","SWE-6388I"
"Haribo","Sweets & Snacks","sweets-snacks","1728","Haribo Rhubarb & Custard Rolls 140g £1.25 PMP","SWE-7909B"
"Haribo","Sweets & Snacks","sweets-snacks","1719","Haribo Sour Bats 140g £1.25 PMP","9838V"
"Imperial Leather","Health & Beauty","health-beauty","1622","Imperial Leather Bodywash Cotton & Vanilla 235ml","72304O"
"Jakemans","Health & Beauty","health-beauty","1666","Jakemans Soothing Menthol Lozenges Cherry Menthol 73g","72332X"
"Johny Bee","Sweets & Snacks","sweets-snacks","1113","Johny Bee Big Dipper Powder Lollipop & Powder 47g","67258R"
