"Category","Category slug","Product ID","Product name"
"Household","household-pet","2223","2 in 1 Window Spray Cleaner"
"Household","household-pet","2184","Air Freshener Berries 250ml"
"Household","household-pet","2187","Air Freshener Jasmine 250ml"
"Household","household-pet","2216","Air Freshener Lemon & Orange 250ml"
"Household","household-pet","2232","Air Freshener Ocean Scent Refill 3pk"
"Household","household-pet","2191","Air Freshener Ocean Scent Refill 3pk CDU"
"Household","household-pet","2186","Air Freshener Rose & Peony 250ml"
"Household","household-pet","2215","All Purpose Cloth Roll- 30 Sheets"
"Household","household-pet","2209","Bucket 10L"
"Household","household-pet","2229","Bucket 10L"
"Household","household-pet","2192","Clothes Dryer 20 Pegs"
"Household","household-pet","2196","Colour Control Laundry Sheets 30pk"
"Household","household-pet","2219","Cotton String Floor Mop"
"Household","household-pet","2220","Dust Pan and Brush"
"Household","household-pet","2228","Dustpan & Brush"
"Household","household-pet","2217","Easy Grip Brushes 2pk"
"Household","household-pet","2225","Extendable Microfibre Duster CDU"
"Household","household-pet","2195","Fresh Linen Air Mist 250ml"
"Household","household-pet","2201","Fresh Linen Scent Booster 1984g"
"Household","household-pet","2198","Heavy Duty Storm Pegs 24pk"
"Household","household-pet","2206","Heavy Duty Washing Line 20m"
"Household","household-pet","2194","Jasmine Air Mist 250ml"
"Household","household-pet","2199","Jasmine Tumble Dryer Sheets 40pk"
"Household","household-pet","2207","Lavender Solid Air Freshener"
"Household","household-pet","2214","Lint Rollers 5Pk"
"Household","household-pet","2200","Magnolia Scent Booster 1984g"
"Household","household-pet","2203","Magnolia Scent Booster 275g"
"Household","household-pet","2193","Microfibre Colour Dish Cloths 10pk"
"Household","household-pet","2218","Microfibre Spray Mop with Trigger Handle to Release Water"
"Household","household-pet","2211","Miracle Sponge 6pk"
"Household","household-pet","2205","Non Slip Plastic Coated Hangers 10pk"
"Household","household-pet","2204","Ocean Vacuum Freshener 20pk"
"Household","household-pet","2185","Scented Air Freshener 250ml CDU"
"Household","household-pet","2190","Scented Plug-In Air Freshener with 2 Refills"
"Household","household-pet","2213","Scrub Pads 5pk"
"Household","household-pet","2227","Silicone Scrubbing Brush"
"Household","household-pet","2210","Soap Filled Scourer Pads 16pk"
"Household","household-pet","2221","Soft Bristle Broom with Cushioned Edges"
"Household","household-pet","2226","Static Duster"
"Household","household-pet","2233","Strong Clothes Hangers 10pk"
"Household","household-pet","2197","Strong Grip Clothes Pegs 18pk"
"Household","household-pet","2230","Suction Dish Brush"
"Household","household-pet","2231","Swing Bin Drawstring 50L 10pk"
"Household","household-pet","2188","Toilet Rim Block Cleaner Citrus 2pk"
"Household","household-pet","2189","Toilet Rim Block Cleaner Ocean Fresh 2pk"
"Household","household-pet","2222","Twist Mop"
"Household","household-pet","2212","Ultra Absorbent Cloths 3Pk"
"Household","household-pet","2202","Vanilla & Sandalwood Scent Booster 275g"
"Household","household-pet","2224","Venetian Blind Cleaner"
"Household","household-pet","2208","Vinyl Gloves 30pk"
"Pets","pets","2262","2-IN-1 Bird Bath & Feeder"
"Pets","pets","2241","Cat Bowls 2pk 17cm"
"Pets","pets","2245","Cat Collar With Bell"
"Pets","pets","2243","Cat Teaser Fish Toy"
"Pets","pets","2252","Collapsible Pet Bowl With Clip 15cm"
"Pets","pets","2254","Cooling Pet Drinking Bowl CDU"
"Pets","pets","2247","Dog Leash 10m"
"Pets","pets","2255","Double Diner With Splash Guard"
"Pets","pets","2244","Fish With Catnip Toy"
"Pets","pets","2263","Marine Animal Plush Dog Toy"
"Pets","pets","2242","Multi-purpose Cat Mat"
"Pets","pets","2259","Pet Fleece Blanket 60cm x 100cm"
"Pets","pets","2253","Pet Food Scoop 2pk"
"Pets","pets","2256","Pet Food Storage 900ml"
"Pets","pets","2260","Pet Grooming Brush Set"
"Pets","pets","2258","Pet Microfibre Towel 60 x 100cm"
"Pets","pets","2261","Pet Silicone Placemat"
"Pets","pets","2246","Pet Travel Bottle"
"Pets","pets","2249","Puppy training pads 30 pack"
"Pets","pets","2248","Rainbow Fragranced Doggy Poo Bags 240pk"
"Pets","pets","2250","Retractable Dog Lead"
"Pets","pets","2240","Silica Crystals Cat Litter 3.8L"
"Pets","pets","2251","Spiral Pet Stake 5m"
"Pets","pets","2257","Stainless Steel Pet Bowl 25cm"
"Stationery","stationery-party","2001","A4 Clear Document Wallets 4pk"
"Stationery","stationery-party","2039","A4 Coloured Card 10pk"
"Stationery","stationery-party","2029","A4 Coloured Card 15pk"
"Stationery","stationery-party","1978","A4 Glitter Card - 10 Pack"
"Stationery","stationery-party","2033","A4 Refill Pad 200 Pages"
"Stationery","stationery-party","2008","A4 Tracing Paper 10pk"
"Stationery","stationery-party","1981","A4 White Play Paper 60 Sheets"
"Stationery","stationery-party","2023","A5 Wiro PP Cover Notebook"
"Stationery","stationery-party","1975","Acrylic Paints 12ml 20pk"
"Stationery","stationery-party","2044","Acrylic Paints 75ml 6pk"
"Stationery","stationery-party","2006","Acrylic Starter Kit 36ml 18pk"
"Stationery","stationery-party","1999","Adhesive Jewels - Multi Pack"
"Stationery","stationery-party","2003","Artist Canvas Panel 20cm x 20cm 2pk"
"Stationery","stationery-party","2048","Artist Canvas Panel 30cm x 30cm"
"Stationery","stationery-party","2052","Artist Easel with Canvas 24x30cm"
"Stationery","stationery-party","1986","Artist Framed Canvas 25cm x 20cm"
"Stationery","stationery-party","1994","Artist Mini Framed Canvas 7cm x 7cm 4pk"
"Stationery","stationery-party","1995","Artist Paint Brush Set 10pk"
"Stationery","stationery-party","2026","Assorted Ballpoint Pens 12pk"
"Stationery","stationery-party","2040","Assorted Sticky Note Set"
"Stationery","stationery-party","2010","Ballpoint Pens 6pk"
"Stationery","stationery-party","2049","Bling Ballpoint Pen CDU"
"Stationery","stationery-party","2034","Boys 10 Colour Pen CDU"
"Stationery","stationery-party","2018","Bright Gel Pens 6pk"
"Stationery","stationery-party","2016","Brown Paper Roll 5m CDU"
"Stationery","stationery-party","1960","Brown tape 50m x 48mm"
"Stationery","stationery-party","2046","C4 Self Seal Envelopes 10pk"
"Stationery","stationery-party","1966","Children's Colouring Book"
"Stationery","stationery-party","1973","Clear Adhesive Tape 3pk 25m"
"Stationery","stationery-party","1961","Clear Packing Tape 50m"
"Stationery","stationery-party","1967","Coloured Tissue Paper 15 Sheets"
"Stationery","stationery-party","2050","Correction Pen & Fluid Kit"
"Stationery","stationery-party","1984","Correction Tape Set 2pk"
"Stationery","stationery-party","2011","Cotton String Balls 2pk"
"Stationery","stationery-party","1992","Craft Glue 80ml 2pk"
"Stationery","stationery-party","1970","Craft Googly Eyes 200pk"
"Stationery","stationery-party","1982","Craft Scissors 3pk"
"Stationery","stationery-party","2042","Double End Marker Pens 10pk"
"Stationery","stationery-party","2032","Double Sided Sticky Pads - 320 Pack"
"Stationery","stationery-party","2036","Double Sided Tape 15m"
"Stationery","stationery-party","2014","Double Sided Tape 5m & 80 Pads"
"Stationery","stationery-party","1998","Drawing Pins 300pk"
"Stationery","stationery-party","2000","Dry erase board"
"Stationery","stationery-party","1989","Dry Erase Markers 4pk"
"Stationery","stationery-party","1957","Dual Tip Felt Pens 12pk"
"Stationery","stationery-party","1972","Elastic bands 100g"
"Stationery","stationery-party","1993","Extra Large Mail Bags 640 x 880mm 2pk"
"Stationery","stationery-party","1969","Fibre Tip Brush Pens 12pk"
"Stationery","stationery-party","1965","Fragile Tape 40m"
"Stationery","stationery-party","2035","Framed Canvas 30x40cm"
"Stationery","stationery-party","2041","Gel Pens 8pk"
"Stationery","stationery-party","2031","Glitter Glues 18pk"
"Stationery","stationery-party","2027","Glitter Tubes 8pk"
"Stationery","stationery-party","2002","Glue Set 3pk"
"Stationery","stationery-party","1963","HB Pencils & Sharpener - 10 Pack"
"Stationery","stationery-party","1959","HB Pencils 12pk"
"Stationery","stationery-party","2015","Jumbo Calculator"
"Stationery","stationery-party","2028","Jumbo Clear Sticky Tape 120m"
"Stationery","stationery-party","1997","Jumbo Fibre Pens 8pk"
"Stationery","stationery-party","1971","Jumbo Tape Dispenser 50m"
"Stationery","stationery-party","2055","Kraft Bags 4pk"
"Stationery","stationery-party","1987","Large Mail Bags 320 x 440mm 3pk"
"Stationery","stationery-party","2043","Large Padded Envelopes 27cm x 36cm - 2 Pack"
"Stationery","stationery-party","2045","Large Scissors"
"Stationery","stationery-party","1964","Lucky Bingo Markers CDU"
"Stationery","stationery-party","2005","Magnetic Bulldog Clips 3pk"
"Stationery","stationery-party","2007","Magnifying Glass"
"Stationery","stationery-party","2030","Make Your Own Greetings Cards 10 Pack"
"Stationery","stationery-party","2004","Medium Mail Bags 240 x 320mm - 6pk"
"Stationery","stationery-party","2021","Medium Padded Envelopes 24cm x 33.5cm - 3 Pack"
"Stationery","stationery-party","2022","Metallic Pens - 3 Pack"
"Stationery","stationery-party","2020","Multicoloured Permanent Markers 8pk"
"Stationery","stationery-party","1985","Neon Highlighter Pens - 4pk Boxed"
"Stationery","stationery-party","2037","Ombre Barrel Pen CDU"
"Stationery","stationery-party","1974","Padded Envelopes 15cm x 21.5cm 5pk"
